Comm_code,Category
10111,01_live_animals
10119,01_live_animals
10120,01_live_animals
10210,01_live_animals
10290,01_live_animals
10310,01_live_animals
10391,01_live_animals
10392,01_live_animals
10410,01_live_animals
10420,01_live_animals
10511,01_live_animals
10519,01_live_animals
10591,01_live_animals
10599,01_live_animals
10600,01_live_animals
20110,02_meat_and_edible_meat_offal
20120,02_meat_and_edible_meat_offal
20130,02_meat_and_edible_meat_offal
20210,02_meat_and_edible_meat_offal
20220,02_meat_and_edible_meat_offal
20230,02_meat_and_edible_meat_offal
20311,02_meat_and_edible_meat_offal
20312,02_meat_and_edible_meat_offal
20319,02_meat_and_edible_meat_offal
20321,02_meat_and_edible_meat_offal
20322,02_meat_and_edible_meat_offal
20329,02_meat_and_edible_meat_offal
20410,02_meat_and_edible_meat_offal
20421,02_meat_and_edible_meat_offal
20422,02_meat_and_edible_meat_offal
20423,02_meat_and_edible_meat_offal
20430,02_meat_and_edible_meat_offal
20441,02_meat_and_edible_meat_offal
20442,02_meat_and_edible_meat_offal
20443,02_meat_and_edible_meat_offal
20450,02_meat_and_edible_meat_offal
20500,02_meat_and_edible_meat_offal
20610,02_meat_and_edible_meat_offal
20621,02_meat_and_edible_meat_offal
20622,02_meat_and_edible_meat_offal
20629,02_meat_and_edible_meat_offal
20630,02_meat_and_edible_meat_offal
20641,02_meat_and_edible_meat_offal
20649,02_meat_and_edible_meat_offal
20680,02_meat_and_edible_meat_offal
20690,02_meat_and_edible_meat_offal
20710,02_meat_and_edible_meat_offal
20721,02_meat_and_edible_meat_offal
20722,02_meat_and_edible_meat_offal
20723,02_meat_and_edible_meat_offal
20731,02_meat_and_edible_meat_offal
20739,02_meat_and_edible_meat_offal
20741,02_meat_and_edible_meat_offal
20742,02_meat_and_edible_meat_offal
20743,02_meat_and_edible_meat_offal
20750,02_meat_and_edible_meat_offal
20810,02_meat_and_edible_meat_offal
20820,02_meat_and_edible_meat_offal
20890,02_meat_and_edible_meat_offal
20900,02_meat_and_edible_meat_offal
21011,02_meat_and_edible_meat_offal
21012,02_meat_and_edible_meat_offal
21019,02_meat_and_edible_meat_offal
21020,02_meat_and_edible_meat_offal
21090,02_meat_and_edible_meat_offal
40110,04_dairy_products_eggs_honey_edible_animal_product_nes
40120,04_dairy_products_eggs_honey_edible_animal_product_nes
40130,04_dairy_products_eggs_honey_edible_animal_product_nes
40210,04_dairy_products_eggs_honey_edible_animal_product_nes
40221,04_dairy_products_eggs_honey_edible_animal_product_nes
40229,04_dairy_products_eggs_honey_edible_animal_product_nes
40291,04_dairy_products_eggs_honey_edible_animal_product_nes
40299,04_dairy_products_eggs_honey_edible_animal_product_nes
40310,04_dairy_products_eggs_honey_edible_animal_product_nes
40390,04_dairy_products_eggs_honey_edible_animal_product_nes
40410,04_dairy_products_eggs_honey_edible_animal_product_nes
40490,04_dairy_products_eggs_honey_edible_animal_product_nes
40500,04_dairy_products_eggs_honey_edible_animal_product_nes
40610,04_dairy_products_eggs_honey_edible_animal_product_nes
40620,04_dairy_products_eggs_honey_edible_animal_product_nes
40630,04_dairy_products_eggs_honey_edible_animal_product_nes
40640,04_dairy_products_eggs_honey_edible_animal_product_nes
40690,04_dairy_products_eggs_honey_edible_animal_product_nes
40700,04_dairy_products_eggs_honey_edible_animal_product_nes
40811,04_dairy_products_eggs_honey_edible_animal_product_nes
40819,04_dairy_products_eggs_honey_edible_animal_product_nes
40891,04_dairy_products_eggs_honey_edible_animal_product_nes
40899,04_dairy_products_eggs_honey_edible_animal_product_nes
40900,04_dairy_products_eggs_honey_edible_animal_product_nes
41000,04_dairy_products_eggs_honey_edible_animal_product_nes
50100,05_products_of_animal_origin_nes
50210,05_products_of_animal_origin_nes
50290,05_products_of_animal_origin_nes
50300,05_products_of_animal_origin_nes
50400,05_products_of_animal_origin_nes
50510,05_products_of_animal_origin_nes
50590,05_products_of_animal_origin_nes
50610,05_products_of_animal_origin_nes
50690,05_products_of_animal_origin_nes
50710,05_products_of_animal_origin_nes
50790,05_products_of_animal_origin_nes
50800,05_products_of_animal_origin_nes
50900,05_products_of_animal_origin_nes
51000,05_products_of_animal_origin_nes
51110,05_products_of_animal_origin_nes
51191,05_products_of_animal_origin_nes
51199,05_products_of_animal_origin_nes
60110,06_live_trees_plants_bulbs_roots_cut_flowers_etc
60120,06_live_trees_plants_bulbs_roots_cut_flowers_etc
60210,06_live_trees_plants_bulbs_roots_cut_flowers_etc
60220,06_live_trees_plants_bulbs_roots_cut_flowers_etc
60230,06_live_trees_plants_bulbs_roots_cut_flowers_etc
60240,06_live_trees_plants_bulbs_roots_cut_flowers_etc
60291,06_live_trees_plants_bulbs_roots_cut_flowers_etc
60299,06_live_trees_plants_bulbs_roots_cut_flowers_etc
60310,06_live_trees_plants_bulbs_roots_cut_flowers_etc
60390,06_live_trees_plants_bulbs_roots_cut_flowers_etc
60410,06_live_trees_plants_bulbs_roots_cut_flowers_etc
60491,06_live_trees_plants_bulbs_roots_cut_flowers_etc
60499,06_live_trees_plants_bulbs_roots_cut_flowers_etc
80110,08_edible_fruit_nuts_peel_of_citrus_fruit_melons
80120,08_edible_fruit_nuts_peel_of_citrus_fruit_melons
80130,08_edible_fruit_nuts_peel_of_citrus_fruit_melons
80211,08_edible_fruit_nuts_peel_of_citrus_fruit_melons
80212,08_edible_fruit_nuts_peel_of_citrus_fruit_melons
80221,08_edible_fruit_nuts_peel_of_citrus_fruit_melons
80222,08_edible_fruit_nuts_peel_of_citrus_fruit_melons
80231,08_edible_fruit_nuts_peel_of_citrus_fruit_melons
80232,08_edible_fruit_nuts_peel_of_citrus_fruit_melons
80240,08_edible_fruit_nuts_peel_of_citrus_fruit_melons
80250,08_edible_fruit_nuts_peel_of_citrus_fruit_melons
80290,08_edible_fruit_nuts_peel_of_citrus_fruit_melons
80300,08_edible_fruit_nuts_peel_of_citrus_fruit_melons
80410,08_edible_fruit_nuts_peel_of_citrus_fruit_melons
80420,08_edible_fruit_nuts_peel_of_citrus_fruit_melons
80430,08_edible_fruit_nuts_peel_of_citrus_fruit_melons
80440,08_edible_fruit_nuts_peel_of_citrus_fruit_melons
80450,08_edible_fruit_nuts_peel_of_citrus_fruit_melons
80510,08_edible_fruit_nuts_peel_of_citrus_fruit_melons
80520,08_edible_fruit_nuts_peel_of_citrus_fruit_melons
80530,08_edible_fruit_nuts_peel_of_citrus_fruit_melons
80540,08_edible_fruit_nuts_peel_of_citrus_fruit_melons
80590,08_edible_fruit_nuts_peel_of_citrus_fruit_melons
80610,08_edible_fruit_nuts_peel_of_citrus_fruit_melons
80620,08_edible_fruit_nuts_peel_of_citrus_fruit_melons
80710,08_edible_fruit_nuts_peel_of_citrus_fruit_melons
80720,08_edible_fruit_nuts_peel_of_citrus_fruit_melons
80810,08_edible_fruit_nuts_peel_of_citrus_fruit_melons
80820,08_edible_fruit_nuts_peel_of_citrus_fruit_melons
80910,08_edible_fruit_nuts_peel_of_citrus_fruit_melons
80920,08_edible_fruit_nuts_peel_of_citrus_fruit_melons
80930,08_edible_fruit_nuts_peel_of_citrus_fruit_melons
80940,08_edible_fruit_nuts_peel_of_citrus_fruit_melons
81010,08_edible_fruit_nuts_peel_of_citrus_fruit_melons
81020,08_edible_fruit_nuts_peel_of_citrus_fruit_melons
81030,08_edible_fruit_nuts_peel_of_citrus_fruit_melons
81040,08_edible_fruit_nuts_peel_of_citrus_fruit_melons
81090,08_edible_fruit_nuts_peel_of_citrus_fruit_melons
81110,08_edible_fruit_nuts_peel_of_citrus_fruit_melons
81120,08_edible_fruit_nuts_peel_of_citrus_fruit_melons
81190,08_edible_fruit_nuts_peel_of_citrus_fruit_melons
81210,08_edible_fruit_nuts_peel_of_citrus_fruit_melons
81220,08_edible_fruit_nuts_peel_of_citrus_fruit_melons
81290,08_edible_fruit_nuts_peel_of_citrus_fruit_melons
81310,08_edible_fruit_nuts_peel_of_citrus_fruit_melons
81320,08_edible_fruit_nuts_peel_of_citrus_fruit_melons
81330,08_edible_fruit_nuts_peel_of_citrus_fruit_melons
81340,08_edible_fruit_nuts_peel_of_citrus_fruit_melons
81350,08_edible_fruit_nuts_peel_of_citrus_fruit_melons
81400,08_edible_fruit_nuts_peel_of_citrus_fruit_melons
90111,09_coffee_tea_mate_and_spices
90112,09_coffee_tea_mate_and_spices
90121,09_coffee_tea_mate_and_spices
90122,09_coffee_tea_mate_and_spices
90130,09_coffee_tea_mate_and_spices
90140,09_coffee_tea_mate_and_spices
90210,09_coffee_tea_mate_and_spices
90220,09_coffee_tea_mate_and_spices
90230,09_coffee_tea_mate_and_spices
90240,09_coffee_tea_mate_and_spices
90300,09_coffee_tea_mate_and_spices
90411,09_coffee_tea_mate_and_spices
90412,09_coffee_tea_mate_and_spices
90420,09_coffee_tea_mate_and_spices
90500,09_coffee_tea_mate_and_spices
90610,09_coffee_tea_mate_and_spices
90620,09_coffee_tea_mate_and_spices
