country_or_area,year,comm_code,commodity,flow,trade_usd,weight_kg,quantity_name,quantity
Germany,2016,10111,"Horses, live pure-bred breeding",Export,35778947,552922,No Quantity,
Germany,2016,10111,"Horses, live pure-bred breeding",Import,9830819,327467,No Quantity,
Germany,2016,10119,"Horses, live except pure-bred breeding",Export,89618302,2288293,No Quantity,
Germany,2016,10119,"Horses, live except pure-bred breeding",Import,7987808,418828,Number of items,523
Germany,2016,10120,"Asses, mules and hinnies, live",Export,10626,1250,No Quantity,
Germany,2016,10120,"Asses, mules and hinnies, live",Import,1312,860,No Quantity,
Germany,2016,10210,"Bovine animals, live pure-bred breeding",Export,212001251,60941352,Number of items,128176
Germany,2016,10210,"Bovine animals, live pure-bred breeding",Import,1783074,250819,Number of items,864
Germany,2016,10290,"Bovine animals, live, except pure-bred breeding",Export,128740656,43897782,Number of items,161516
Germany,2016,10290,"Bovine animals, live, except pure-bred breeding",Import,48020002,16632905,Number of items,52434
Germany,2016,10310,"Swine, live pure-bred breeding",Import,11074023,2708567,No Quantity,
Germany,2016,10310,"Swine, live pure-bred breeding",Export,3484058,903304,Number of items,6983
Germany,2016,10391,"Swine, live except pure-bred breeding < 50 kg",Export,112676555,50003332,Number of items,2180497
Germany,2016,10391,"Swine, live except pure-bred breeding < 50 kg",Import,619954941,290342242,Number of items,11444425
Germany,2016,10392,"Swine, live except pure-bred breeding > 50 kg",Export,71747099,44508000,Number of items,453903
Germany,2016,10392,"Swine, live except pure-bred breeding > 50 kg",Import,711207372,508596950,Number of items,4756255
Germany,2016,10410,"Sheep, live",Export,1244728,311781,Number of items,14849
Germany,2016,10410,"Sheep, live",Import,14914692,5043879,Number of items,189771
Germany,2016,10420,"Goats, live",Export,488024,11980,No Quantity,
Germany,2016,10420,"Goats, live",Import,34002,8536,No Quantity,
Germany,2016,10511,"Fowls, live domestic < 185 grams",Import,82842642,6015168,No Quantity,
Germany,2016,10511,"Fowls, live domestic < 185 grams",Export,120058023,3227468,Number of items,50203725
Germany,2016,10519,"Poultry, live except domestic fowls, < 185 grams",Export,44109403,1488563,No Quantity,
Germany,2016,10519,"Poultry, live except domestic fowls, < 185 grams",Import,8436171,183007,Number of items,4011192
Germany,2016,10591,"Fowls, live domestic > 185 grams",Export,428498395,469487888,Number of items,174528827
Germany,2016,10591,"Fowls, live domestic > 185 grams",Import,79029336,72775559,Number of items,35037302
Germany,2016,10599,"Poultry, live except domestic fowls, > 185 grams",Export,12248622,7205644,Number of items,835821
Germany,2016,10599,"Poultry, live except domestic fowls, > 185 grams",Import,139254378,96140919,Number of items,13848177
Germany,2016,10600,"Animals, live, except farm animals",Export,36878538,527774,No Quantity,
Germany,2016,10600,"Animals, live, except farm animals",Import,45570551,1196392,No Quantity,
Germany,2015,10111,"Horses, live pure-bred breeding",Export,36849371,642080,No Quantity,
Germany,2015,10111,"Horses, live pure-bred breeding",Import,20324384,386987,No Quantity,
Germany,2015,10119,"Horses, live except pure-bred breeding",Export,116916716,2128996,No Quantity,
Germany,2015,10119,"Horses, live except pure-bred breeding",Import,7767970,556566,No Quantity,
Germany,2015,10120,"Asses, mules and hinnies, live",Export,2218,350,No Quantity,
Germany,2015,10120,"Asses, mules and hinnies, live",Import,5771,1450,No Quantity,
Germany,2015,10210,"Bovine animals, live pure-bred breeding",Export,223621976,61456264,Number of items,103743
Germany,2015,10210,"Bovine animals, live pure-bred breeding",Import,3086552,596177,Number of items,1339
Germany,2015,10290,"Bovine animals, live, except pure-bred breeding",Export,141943591,47007828,Number of items,142720
Germany,2015,10290,"Bovine animals, live, except pure-bred breeding",Import,54158166,18740515,Number of items,53847
Germany,2015,10310,"Swine, live pure-bred breeding",Import,19640161,5053539,No Quantity,
Germany,2015,10310,"Swine, live pure-bred breeding",Export,4204439,894903,Number of items,8214
Germany,2015,10391,"Swine, live except pure-bred breeding < 50 kg",Export,119527891,59733000,Number of items,1630250
Germany,2015,10391,"Swine, live except pure-bred breeding < 50 kg",Import,508143716,279208007,Number of items,6549705
Germany,2015,10392,"Swine, live except pure-bred breeding > 50 kg",Export,145581004,96471953,Number of items,727700
Germany,2015,10392,"Swine, live except pure-bred breeding > 50 kg",Import,614713305,479485791,Number of items,3114089
Germany,2015,10410,"Sheep, live",Export,1505019,379264,Number of items,14328
Germany,2015,10410,"Sheep, live",Import,9657364,3324243,Number of items,91654
Germany,2015,10420,"Goats, live",Export,192108,4896,No Quantity,
Germany,2015,10420,"Goats, live",Import,35801,9736,No Quantity,
Germany,2015,10511,"Fowls, live domestic < 185 grams",Export,117052848,3366857,Number of items,37539258
Germany,2015,10511,"Fowls, live domestic < 185 grams",Import,96643609,7033805,Number of items,29109023
Germany,2015,10519,"Poultry, live except domestic fowls, < 185 grams",Export,37530207,1252510,Number of items,15010047
Germany,2015,10519,"Poultry, live except domestic fowls, < 185 grams",Import,6490805,71048,Number of items,2730318
Germany,2015,10591,"Fowls, live domestic > 185 grams",Export,478576367,511560726,Number of items,159152443
Germany,2015,10591,"Fowls, live domestic > 185 grams",Import,67893740,60623390,Number of items,22508709
Germany,2015,10599,"Poultry, live except domestic fowls, > 185 grams",Export,12269727,7438253,Number of items,1077324
Germany,2015,10599,"Poultry, live except domestic fowls, > 185 grams",Import,134236572,89002323,Number of items,18236907
Germany,2015,10600,"Animals, live, except farm animals",Export,33167843,590389,No Quantity,
Germany,2015,10600,"Animals, live, except farm animals",Import,47410710,1252413,No Quantity,
Germany,2014,10111,"Horses, live pure-bred breeding",Export,35601636,548924,No Quantity,
Germany,2014,10111,"Horses, live pure-bred breeding",Import,31814183,374864,No Quantity,
Germany,2014,10119,"Horses, live except pure-bred breeding",Export,130905780,1788312,No Quantity,
Germany,2014,10119,"Horses, live except pure-bred breeding",Import,8508890,563700,No Quantity,
Germany,2014,10120,"Asses, mules and hinnies, live",Import,7339,3590,No Quantity,
Germany,2014,10210,"Bovine animals, live pure-bred breeding",Export,213213749,50884453,Number of items,97321
Germany,2014,10210,"Bovine animals, live pure-bred breeding",Import,5827845,1142611,Number of items,2472
Germany,2014,10290,"Bovine animals, live, except pure-bred breeding",Export,153738343,48161206,Number of items,138558
Germany,2014,10290,"Bovine animals, live, except pure-bred breeding",Import,79035197,26032917,Number of items,69434
Germany,2014,10310,"Swine, live pure-bred breeding",Export,5570064,926282,Number of items,10569
Germany,2014,10310,"Swine, live pure-bred breeding",Import,31221509,6395614,Number of items,54336
Germany,2014,10391,"Swine, live except pure-bred breeding < 50 kg",Export,159175734,53565519,Number of items,2080604
Germany,2014,10391,"Swine, live except pure-bred breeding < 50 kg",Import,746346756,278177607,Number of items,9477074
Germany,2014,10392,"Swine, live except pure-bred breeding > 50 kg",Export,312424577,152687312,Number of items,1507099
Germany,2014,10392,"Swine, live except pure-bred breeding > 50 kg",Import,874615703,505123863,Number of items,4160867
Germany,2014,10410,"Sheep, live",Export,2783598,595970,Number of items,28266
Germany,2014,10410,"Sheep, live",Import,10085117,3035104,Number of items,91699
Germany,2014,10420,"Goats, live",Export,20028,1750,No Quantity,
Germany,2014,10420,"Goats, live",Import,80694,15639,No Quantity,
Germany,2014,10511,"Fowls, live domestic < 185 grams",Import,112525958,7459883,No Quantity,
Germany,2014,10511,"Fowls, live domestic < 185 grams",Export,136464486,3093303,Number of items,46856092
Germany,2014,10519,"Poultry, live except domestic fowls, < 185 grams",Import,6858303,49605,No Quantity,
